d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
1/1/2021,6:04:00,6:30:00,7:50:00,12:15:00,12:30:00,14:56:00,14:56:00,15:15:00,16:39:00,16:39:00,18:08:00,19:30:00,0,"Jumada Al-Awwal 17, 1442"
1/2/2021,6:04:00,6:30:00,7:50:00,12:15:00,12:30:00,14:57:00,14:57:00,15:15:00,16:40:00,16:40:00,18:09:00,19:30:00,0,"Jumada Al-Awwal 18, 1442"
1/3/2021,6:04:00,6:30:00,7:50:00,12:16:00,12:30:00,14:58:00,14:58:00,15:15:00,16:41:00,16:41:00,18:10:00,19:30:00,0,"Jumada Al-Awwal 19, 1442"
1/4/2021,6:04:00,6:30:00,7:50:00,12:16:00,12:30:00,14:59:00,14:59:00,15:15:00,16:42:00,16:42:00,18:11:00,19:30:00,0,"Jumada Al-Awwal 20, 1442"
1/5/2021,6:04:00,6:30:00,7:50:00,12:17:00,12:30:00,15:00:00,15:00:00,15:15:00,16:43:00,16:43:00,18:12:00,19:30:00,0,"Jumada Al-Awwal 21, 1442"
1/6/2021,6:04:00,6:30:00,7:50:00,12:17:00,12:30:00,15:01:00,15:01:00,15:15:00,16:44:00,16:44:00,18:13:00,19:30:00,0,"Jumada Al-Awwal 22, 1442"
1/7/2021,6:04:00,6:30:00,7:50:00,12:18:00,12:30:00,15:02:00,15:02:00,15:15:00,16:45:00,16:45:00,18:14:00,19:30:00,0,"Jumada Al-Awwal 23, 1442"
1/8/2021,6:03:00,6:30:00,7:49:00,12:18:00,12:30:00,15:03:00,15:03:00,15:15:00,16:46:00,16:46:00,18:15:00,19:30:00,0,"Jumada Al-Awwal 24, 1442"
1/9/2021,6:03:00,6:30:00,7:49:00,12:18:00,12:30:00,15:04:00,15:04:00,15:15:00,16:47:00,16:47:00,18:16:00,19:30:00,0,"Jumada Al-Awwal 25, 1442"
1/10/2021,6:03:00,6:30:00,7:49:00,12:19:00,12:30:00,15:05:00,15:05:00,15:15:00,16:48:00,16:48:00,18:17:00,19:30:00,0,"Jumada Al-Awwal 26, 1442"
1/11/2021,6:03:00,6:30:00,7:48:00,12:19:00,12:30:00,15:06:00,15:06:00,15:15:00,16:50:00,16:50:00,18:18:00,19:30:00,0,"Jumada Al-Awwal 27, 1442"
1/12/2021,6:03:00,6:30:00,7:48:00,12:20:00,12:30:00,15:08:00,15:08:00,15:15:00,16:51:00,16:51:00,18:19:00,19:30:00,0,"Jumada Al-Awwal 28, 1442"
1/13/2021,6:02:00,6:30:00,7:47:00,12:20:00,12:30:00,15:09:00,15:09:00,15:15:00,16:52:00,16:52:00,18:20:00,19:30:00,0,"Jumada Al-Awwal 29, 1442"
1/14/2021,6:02:00,6:30:00,7:47:00,12:20:00,12:30:00,15:10:00,15:10:00,15:15:00,16:53:00,16:53:00,18:21:00,19:30:00,0,"Jumada Al-Awwal 30, 1442"
